"State","County","HPI","Personal_Income","Poverty_Percentage","Population","HighSchoolLess","HighSchoolOnly","SomeCollege","BachelorAndHigher","Unemployment_Rate"
"IL","Montgomery","140.08",36324,16,28414,12.3,39.3,31.7,16.7,5.2
"IL","Morgan","128.24",40560,13.8,33658,9.1,40.2,31.4,19.3,4
"IL","Moultrie","132.31",64409,8.6,14501,15.3,33.4,32.7,18.6,3.3
"IL","Ogle","118.24",47369,9.4,50643,9.8,33.4,35.4,21.4,4.8
"IL","Peoria","113.95",51089,14.8,179179,9.1,27.6,32.7,30.6,5.1
"IL","Perry","148.73",38179,14.4,20916,16.7,36.6,34.2,12.5,5.1
"IL","Piatt","137.04",54940,6.5,16344,6.1,33.9,31.4,28.6,3.6
"IL","Pike","145.52",41957,14.4,15561,11.3,38.7,32.2,17.8,4.3
"IL","Putnam","124.40",61363,7.6,5739,7.3,38.1,38,16.6,5
"IL","Randolph","145.21",37988,12.7,31782,15.7,37.3,33.7,13.3,3.7
"IL","Richland","140.51",42275,13.1,15513,10.9,29.9,38.2,21,4.1
"IL","Rock Island","133.75",45711,13.6,141879,11.4,29.5,35.6,23.5,4.9
"IL","Saline","138.34",40891,15.7,23491,13.3,27.5,40,19.2,5.3
"IL","Sangamon","130.49",49445,12.2,194672,7.5,27.2,30.8,34.5,4
"IL","Scott","129.98",41942,11.2,4951,6.5,47.7,29.9,15.8,4.7
"IL","Shelby","140.99",40517,9.4,21634,7.7,44.4,31,16.8,3.9
"IL","Stark","110.28",42563,11.2,5342,8.7,41.6,32.6,17,5.7
"IL","Stephenson","106.72",42980,11.5,44498,7.5,35,38,19.6,4.4
"IL","Tazewell","126.81",48515,8.2,131803,7.3,31.7,34.7,26.3,4.4
"IL","Union","133.05",43491,17.2,16653,11.6,35.4,31.2,21.7,5.7
"IL","Vermilion","119.06",40109,16.8,75758,11.5,41.2,32.5,14.7,5.1
"IL","Wabash","147.54",43098,13.5,11520,9.4,30.7,41.7,18.2,3.8
"IL","Warren","136.21",41270,11.4,16844,13.3,32,31.9,22.8,4.1
"IL","Washington","140.97",48740,8.1,13887,7.8,33.4,37.9,20.9,2.5
"IL","White","144.61",50560,14.5,13537,10.1,37.4,37.1,15.5,3.8
"IL","Whiteside","127.14",44916,11.4,55175,9.4,37.7,34.6,18.2,4.3
"IL","Will","131.17",53895,6.5,690743,9,26.9,29.8,34.3,3.8
"IL","Williamson","136.01",45878,13.4,66597,7.7,31.1,36.9,24.3,4.3
"IL","Winnebago","113.00",44234,16.1,282572,12.3,31.7,33.1,22.9,5.7
"IL","Woodford","129.86",53163,6.1,38459,5.2,31.3,30.3,33.2,3.7
"IN","Adams","129.74",40584,12.6,35777,15.3,40.6,28.7,15.5,2.7
"IN","Allen","142.52",47602,10.5,379299,10.6,28.2,32.6,28.5,3.1
"IN","Bartholomew","146.33",52546,11.2,83779,9.4,30.8,26.3,33.5,2.5
