"State","County","HPI","Personal_Income","Poverty_Percentage","Population","HighSchoolLess","HighSchoolOnly","SomeCollege","BachelorAndHigher","Unemployment_Rate"
"MD","Caroline","156.89",46883,12.1,33406,15.7,39.9,26,18.4,3.6
"MD","Carroll","177.13",64288,5.1,168447,7.3,29.4,26.9,36.4,2.9
"MD","Cecil","161.20",49749,10.3,102855,10.5,36.1,29.4,23.9,4
"MD","Charles","168.55",57774,6.4,163257,6.8,31.7,32.6,28.9,3.6
"MD","Dorchester","143.58",47699,16.4,31929,12.1,38.5,28.2,21.2,4.8
"MD","Frederick","177.70",64147,5.7,259547,7.5,24.1,27,41.4,3.2
"MD","Garrett","162.84",47735,12.8,29014,10.2,43.3,25.6,20.9,4.4
"MD","Harford","174.38",60266,6.7,255441,7.3,26,30,36.7,3.3
"MD","Howard","195.67",79253,5,325690,4.5,13.5,19.5,62.6,2.7
"MD","Kent","162.57",63141,12.4,19422,11.4,29.8,23.6,35.1,4
"MD","Montgomery","206.40",90139,7.3,1050688,9,13.4,18.7,58.9,2.9
"MD","Somerset","133.19",31668,23.6,25616,18.7,39.7,27.2,14.4,6.1
"MD","Talbot","165.70",74711,8.7,37181,8.8,24.5,26.2,40.6,3.4
"MD","Washington","152.77",48650,12.3,151049,12.8,36.5,28.8,21.9,3.9
"MD","Wicomico","153.28",42547,16,103609,12.8,32.3,27.7,27.2,4.6
"MD","Worcester","182.43",60222,9.9,52276,8.7,31.8,30.5,29,7.4
"MA","Barnstable","192.68",77435,6.5,212990,4.5,23.7,28.3,43.4,3.9
"MA","Berkshire","162.36",58299,11.2,124944,8.7,29.4,28.4,33.6,3.5
"MA","Bristol","178.17",55718,11.3,565217,14.3,29.9,27.1,28.7,3.7
"MA","Dukes","227.27",100996,7.3,17332,5.2,23.6,26.3,44.9,4.1
"MA","Essex","175.26",69981,8.8,789034,10.7,25.1,24.4,39.9,3
"MA","Franklin","165.26",56793,9.3,70180,6.7,28.5,27.5,37.3,2.7
"MA","Hampden","165.53",53248,13.8,466372,14.2,30.7,28,27.1,4.1
"MA","Hampshire","177.97",54867,11.1,160830,5.3,22.6,23.8,48.3,2.7
"MA","Middlesex","184.71",87192,6.9,1611699,6.6,19,18.1,56.3,2.3
"MA","Nantucket","235.17",136204,5.5,11399,4.4,19.8,23,52.8,4.2
"MA","Norfolk","184.90",95221,5.8,706775,6.1,19.2,21.1,53.6,2.5
"MA","Plymouth","178.62",69669,7.4,521202,7.1,27.8,27.5,37.6,3
"MA","Suffolk","232.10",83490,16.7,803907,13.7,22.1,18.2,46.1,2.6
"MA","Worcester","161.25",58563,9.4,830622,9.3,27.8,26.6,36.4,3.1
"MI","Alcona","115.10",41049,18,10405,10.7,39.3,33.1,16.9,6.3
"MI","Alger","140.75",34233,12.6,9108,10.1,45.2,27.3,17.4,7.8
"MI","Allegan","145.04",45937,10.8,118081,9.1,37.9,30.4,22.6,3.1
"MI","Alpena","108.31",41783,13.9,28405,8.1,33.7,40.2,18,4.7
"MI","Antrim","135.17",47855,9.6,23324,8.3,31.5,31.3,28.8,5.1
"MI","Arenac","106.82",39009,17.2,14883,11.5,41.9,34,12.6,6.6
"MI","Barry","140.09",45804,7.8,61550,7.3,37.7,33.8,21.1,3.2
"MI","Bay","106.01",43657,13.4,103126,9.5,34.6,36.6,19.3,4.7
"MI","Benzie","147.23",44283,9.6,17766,6.7,31.2,31.8,30.3,5.1
"MI","Berrien","143.00",48237,15.9,153401,10.3,28.1,33.8,27.8,4
"MI","Branch","127.23",37202,13.2,43517,10.9,41.5,33.2,14.4,3.9
"MI","Calhoun","120.84",40257,13.9,134159,9,36.8,33.2,21,4.1
"MI","Cass","146.49",45409,14.8,51787,12.3,33.2,35.4,19.2,4.3
"MI","Charlevoix","134.75",53136,9.7,26143,6,29.7,33.2,31.1,4.6
"MI","Cheboygan","124.42",40405,14.9,25276,9.9,38,31.4,20.7,8.7
"MI","Chippewa","124.78",35034,18.3,37349,10,34.1,34.7,21.2,6.3
"MI","Clare","118.99",34637,19.6,30950,15.5,36.6,35.3,12.6,6.1
"MI","Clinton","127.62",47411,7.8,79595,5.5,26.8,35.7,32.1,3
"MI","Crawford","126.18",35407,14,14029,10.1,33,37.5,19.4,5.6
"MI","Delta","120.80",41210,13.8,35784,5.9,33.8,39.4,21,5.2
"MI","Dickinson","137.13",49179,9.9,25239,5,33.2,36.1,25.7,4.2
"MI","Eaton","123.75",43365,7.5,110268,5.7,27.7,38.8,27.8,3.4
"MI","Emmet","139.66",58528,9.2,33415,6.1,24.7,35.8,33.4,5.4
"MI","Genesee","110.48",41929,16.6,405813,9.4,31.6,37.8,21.2,4.9
"MI","Gladwin","119.65",37512,13.5,25449,13,39.3,34.2,13.5,5.7
"MI","Gogebic","125.64",44113,17.1,13975,6.3,37.3,36.9,19.4,5.2
"MI","Grand Traverse","163.37",51619,7.2,93088,4.8,24,35.2,36,3.4
"MI","Gratiot","124.43",38274,14.3,40711,8.9,40.4,35.3,15.4,4.4
"MI","Hillsdale","120.97",36033,15.3,45605,11.8,38.9,32,17.3,4.2
"MI","Houghton","150.48",39124,14.7,35684,7.2,33.1,27.1,32.6,4.9
"MI","Huron","117.66",47909,13.7,30981,10.9,41.6,31.5,16,4.4
"MI","Ingham","122.63",41286,17.3,292406,7.1,22,32.1,38.9,3.5
"MI","Ionia","136.40",35518,11.5,64697,9.5,39.1,35,16.4,3.4
"MI","Iosco","120.12",39832,14.2,25127,11.1,38.3,34.8,15.9,6
"MI","Iron","131.71",45463,13.7,11066,8.9,41.9,30.7,18.5,5.5
"MI","Isabella","130.24",36356,22.9,69872,8.5,31.8,30.6,29.1,3.8
"MI","Jackson","117.81",40387,13.7,158510,9.2,32.6,36,22.2,3.8
"MI","Kalamazoo","137.40",49493,13.3,265066,6.4,22,32.8,38.8,3.3
"MI","Kalkaska","144.90",35387,13.9,18038,12.7,42.1,33.3,11.9,5.6
"MI","Kent","152.11",53664,11.2,656955,9.3,24.1,30.9,35.7,2.9
"MI","Lake","126.98",33368,20.2,11853,17.6,40.6,30,11.9,6.4
"MI","Lapeer","115.20",44706,10.1,87607,9.1,35.8,36.8,18.3,5.4
"MI","Leelanau","155.44",68281,7.1,21761,4.3,21.6,29.3,44.7,3.7
"MI","Lenawee","115.12",40932,11.8,98451,9.1,36.9,33,21,3.9
"MI","Livingston","125.78",58879,4.4,191995,4.8,25.8,34,35.4,3.3
"MI","Luce","96.64",32174,19.2,6229,11.6,36.8,33.2,18.4,6.2
"MI","Mackinac","124.37",45138,14.1,10799,9.3,34,33.4,23.3,9.3
"MI","Macomb","115.31",47487,8.6,873972,10.1,29.7,35.4,24.9,4.2
"MI","Manistee","144.66",39389,12.3,24558,10.1,35.6,34,20.3,5.5
"MI","Marquette","176.90",40772,11.8,66699,5,30.9,31.1,32.9,4.8
"MI","Mason","148.01",41488,13.9,29144,7.9,34.5,34.6,23.1,4.9
"MI","Mecosta","134.05",34090,19.9,43453,9.8,36,31.5,22.7,4.7
"MI","Menominee","136.57",44114,13.5,22780,7.5,42.5,33.7,16.3,4
"MI","Midland","120.92",55972,9.7,83156,5.8,28.9,30.1,35.2,3.7
"MI","Missaukee","137.71",36922,10.9,15118,10.5,41.9,33.6,14,4.8
"MI","Monroe","114.05",48581,10.2,150500,8.6,35.2,35.7,20.5,3.9
"MI","Montcalm","138.13",35537,12.4,63888,11.3,40.4,34.9,13.3,4.1
"MI","Montmorency","122.59",38079,14.4,9328,13.1,42.9,30.3,13.7,8.3
"MI","Muskegon","136.24",39637,13.5,173566,8.7,34,37.5,19.7,4.3
"MI","Newaygo","137.18",38429,15.7,48980,11.9,40.4,31.1,16.6,4.2
"MI","Oakland","124.16",73271,7.8,1257584,5.9,18.6,28.3,47.2,3.4
"MI","Oceana","140.17",38856,14.8,26467,12.8,36.3,31.4,19.5,5.9
"MI","Ogemaw","109.83",34770,18.2,20997,14.1,38.2,35.5,12.2,6.7
"MI","Osceola","115.64",37636,14.6,23460,11.3,43.8,30.7,14.2,4
"MI","Oscoda","101.11",34549,15.4,8241,16.6,37.4,35.4,10.6,6.9
"MI","Otsego","118.06",41925,10,24668,8,33.1,35.4,23.6,4.9
"MI","Ottawa","153.08",49345,7.8,291830,7,28.2,30.7,34.1,2.8
"MI","Presque Isle","116.98",41560,10.8,12592,10.4,38.2,33.5,17.9,7.6
"MI","Roscommon","121.51",37507,15.3,24019,10.1,38.4,36.1,15.5,7.5
"MI","Saginaw","108.59",40533,18.6,190539,10.6,33.3,35.3,20.8,4.8
"MI","Sanilac","111.86",38917,13.6,41170,11.6,41.2,33,14.2,4.7
"MI","Schoolcraft","115.44",41073,14.3,8094,9.4,44.1,30.9,15.6,7
"MI","Shiawassee","116.77",40535,10.9,68122,7.8,37.3,37.9,17,4.3
"MI","Tuscola","113.67",38676,11.6,52245,10.7,42.4,33.5,13.5,5.1
"MI","Van Buren","147.16",41773,13,75677,12.9,31.3,34.1,21.7,4.6
"MI","Washtenaw","139.85",60843,13,367601,4.7,14.6,24.7,55.9,2.9
"MI","Wayne","110.56",44512,19.8,1749343,13.5,30.1,32.5,23.9,5.1
"MI","Wexford","133.03",37240,12.4,33631,10.4,36.4,34.9,18.2,4.5
"MN","Aitkin","140.95",41327,12.5,15886,8.8,36.9,36.3,18.1,6.2
"MN","Anoka","156.92",52250,6.2,356921,6,27.9,35.6,30.5,3.1
"MN","Becker","204.10",49190,10.2,34423,6.9,31.6,36.6,25,4
"MN","Beltrami","174.01",42212,16.3,47188,7.9,27.8,35.2,29.2,4.3
"MN","Benton","151.38",45458,8.6,40889,8.3,29.9,38.3,23.6,3.9
"MN","Blue Earth","154.99",46793,15.2,67653,5.5,26.5,33.2,34.8,2.8
"MN","Brown","146.56",55904,7.4,25008,6.5,36.1,35.2,22.2,3.6
"MN","Carlton","168.93",44391,9.1,35871,6,32.1,39.7,22.1,4.5
"MN","Carver","154.44",72852,4.3,105089,3.9,18.2,29,48.9,2.8
"MN","Cass","151.46",47981,11.4,29779,7.8,32.3,36.7,23.2,5.5
"MN","Chippewa","153.20",51230,10.4,11800,10.6,34.1,36.3,19,3.9
"MN","Chisago","150.07",50093,6.2,56579,5.4,33.8,39.4,21.5,3.8
"MN","Clay","193.46",44023,11.9,64222,5.1,23.7,37,34.2,3
"MN","Cook","180.59",54964,8.9,5463,2.9,24,32.7,40.4,4.3
"MN","Cottonwood","172.29",51543,10.8,11196,10.6,36,33.4,20,3.7
"MN","Crow Wing","149.11",45685,10.5,65055,5.9,29.9,39.5,24.7,4.3
"MN","Dakota","155.23",61914,6.3,429021,4.9,20.4,32.4,42.2,2.9
"MN","Dodge","155.81",47665,5.6,20934,5.1,33.3,35.9,25.7,3.4
"MN","Douglas","173.61",52691,6.3,38141,4.9,29.1,40,26,3.2
"MN","Faribault","147.37",46941,12.2,13653,7.4,37.7,36.3,18.6,4.2
"MN","Fillmore","144.48",47061,9.4,21067,9,34.1,34.7,22.2,3.3
"MN","Freeborn","138.66",47356,9.6,30281,11.2,35,36.6,17.1,3.4
"MN","Goodhue","148.49",55816,7.1,46340,5.6,32.8,35.5,26,3
"MN","Grant","145.49",50366,8.8,5972,7.1,33.3,40.8,18.8,4.5
"MN","Hennepin","169.40",76552,9.7,1265843,6.7,16.4,26.9,50.1,2.8
"MN","Houston","166.80",53446,7.8,18600,4.9,34.2,36.1,24.8,3.2
"MN","Hubbard","157.34",45257,11.2,21491,7,31.2,34.4,27.4,5.4
"MN","Isanti","154.75",45781,6.9,40596,7.5,34.6,39.4,18.5,4.1
"MN","Itasca","154.08",46020,11.2,45130,6,30,41,23.1,6
"MN","Jackson","169.93",57933,9.8,9846,7.3,32.7,37.4,22.6,3.4
"MN","Kanabec","143.86",43416,10.1,16337,9.8,39.4,36.1,14.7,5.9
"MN","Kandiyohi","158.38",54111,9.8,43199,11,25.9,39.9,23.3,3.5
"MN","Koochiching","156.17",45054,13,12229,8.1,35.7,40.7,15.5,6.4
"MN","Lake","173.59",49743,9,10641,5.3,30.9,34.9,28.8,3.6
"MN","Le Sueur","147.44",50728,7.1,28887,6.1,35.8,35.1,23,4.5
"MN","Lyon","144.05",54108,10.6,25474,8,31.7,34.2,26.1,3.2
"MN","McLeod","143.98",50380,6.3,35893,6.9,36,39.5,17.6,3.7
"MN","Martin","151.35",57091,10.5,19683,6.8,37.9,34.8,20.5,3.8
"MN","Meeker","153.87",46073,7.9,23222,7.4,35.3,37.8,19.5,3.9
"MN","Mille Lacs","154.09",43058,11.4,26277,10.2,38.6,36.5,14.7,5.4
"MN","Morrison","160.97",43703,8.9,33386,9.3,38.3,35.1,17.3,5.2
"MN","Mower","134.36",47445,11.5,40062,12.4,32,33.5,22.2,3
"MN","Murray","188.41",59183,8.5,8194,9.8,36.3,33.2,20.7,4.3
"MN","Nicollet","156.17",51036,9.9,34274,6,25.2,35,33.8,2.5
"MN","Nobles","184.75",49217,11,21629,23.7,31.3,29.6,15.3,3
"MN","Olmsted","155.01",59176,6.7,158293,5.4,19.9,29.8,44.9,2.6
"MN","Otter Tail","170.17",49277,11,58746,7.9,29.5,37.6,24.9,4.2
"MN","Pennington","196.91",57337,9.8,14119,6.8,33.1,40.7,19.3,4.6
"MN","Pine","138.32",37971,11.6,29579,9.6,40.7,34.9,14.9,5.5
"MN","Pipestone","168.21",61830,11.1,9126,10.4,35.5,32.9,21.3,3.5
"MN","Polk","194.62",48513,10.8,31364,8.1,30.6,35.9,25.3,4
"MN","Pope","182.85",52217,8.9,11249,6,30.4,40.7,22.9,3.1
"MN","Ramsey","163.54",55583,12.4,550321,9.7,20.9,27.2,42.3,3
"MN","Redwood","152.19",54719,9.7,15170,9.1,37.4,34.4,19.1,3.7
"MN","Renville","151.56",53855,10,14548,9.5,36.6,38.7,15.2,4.5
"MN","Rice","144.46",45092,8.2,66972,8.9,31.4,31.4,28.3,3.1
"MN","Rock","187.80",57617,8.7,9315,6.7,33,36.5,23.8,2.3
"MN","Roseau","167.50",49328,6,15165,7.1,35.1,37.5,20.3,3.9
"MN","Scott","151.85",62164,4.2,149013,5.3,22.2,32.6,39.9,2.7
"MN","Sherburne","148.24",47712,5.5,97238,5.4,28.5,39.5,26.6,3.5
"MN","Sibley","149.81",49408,10.7,14865,9.3,39.2,35.1,16.4,3.8
"MN","Stearns","152.04",47938,11.2,161075,8.3,28,36.2,27.5,3.2
"MN","Steele","139.94",48580,6.3,36649,7.5,33.7,32.9,26,3.2
"MN","Stevens","170.52",50696,11.9,9805,6,31.4,32,30.5,2.7
"MN","Swift","145.47",52813,9.5,9266,9.4,32.7,38.3,19.6,4.4
"MN","Todd","168.67",43979,11.8,24664,13,36.7,35.2,15.1,4.4
"MN","Wabasha","152.70",50042,8.4,21627,6.6,33,36.7,23.7,3.3
"MN","Wadena","168.36",40756,12.5,13682,9.4,37.1,39.7,13.8,6.2
"MN","Waseca","149.24",44262,8.9,18612,7,36.4,35.2,21.4,3.9
"MN","Washington","156.50",68525,4.6,262440,3.9,21,30.8,44.3,2.8
"MN","Watonwan","144.19",48684,10.1,10897,15.5,41.3,27.7,15.5,4
"MN","Wilkin","170.04",57087,9.1,6207,5.1,28.7,42.4,23.8,3.4
"MN","Winona","143.57",49412,11,50484,6.5,27.2,36.2,30.1,2.9
"MN","Wright","151.53",51609,5.2,138377,5.1,29.4,36,29.6,3.3
"MN","Yellow Medicine","135.54",57881,9.6,9709,8.7,35.4,38.6,17.2,3.8
"MS","Adams","146.60",35563,27.9,30693,22.1,33,27.4,17.4,7.1
"MS","Alcorn","140.34",36592,17.3,36953,18.7,32.2,32,17.1,4.7
"MS","Attala","135.37",34583,24.1,18174,22.4,32.4,31.2,13.9,6.2
"MS","Bolivar","139.52",39179,36.6,30628,22.2,24.9,29.4,23.6,7
"MS","Calhoun","179.29",33450,17.2,14361,22.5,37.3,28.5,11.8,5.5
"MS","Chickasaw","138.25",36994,22.7,17103,24.6,38.4,24.6,12.4,5.6
"MS","Clarke","154.16",38735,23.2,15541,17.1,39.4,31,12.5,6.2
"MS","Coahoma","111.23",37070,38.2,22124,20.5,25.2,37.9,16.5,7.7
"MS","Copiah","151.76",33932,22.1,28065,19.8,34.4,31.3,14.5,6.6
"MS","Covington","146.59",36985,21.3,18636,16.8,36.6,31.9,14.7,4.9
"MS","Forrest","148.52",39450,23.3,74897,12.6,27.2,32.4,27.8,5.1
"MS","George","145.81",33595,16.6,24500,15.7,36.6,34,13.8,7.4
"MS","Grenada","124.26",37067,20.3,20758,19.2,27.8,31.6,21.3,5.1
"MS","Hancock","179.93",36533,16.7,47632,12.5,28.1,37.3,22,5.6
"MS","Harrison","138.99",38140,17.5,208080,11.7,29.1,36.1,23.1,5.2
"MS","Hinds","127.14",40279,20.1,231840,12.5,25,33.5,29,5.2
"MS","Itawamba","143.93",36375,12.8,23390,20.9,31.1,34.8,13.2,4.7
"MS","Jackson","140.79",38269,15.1,143617,11.3,31.2,36.4,21.1,6
"MS","Jones","147.84",38740,23.8,68098,15.9,29.9,33.4,20.8,5.4
"MS","Lafayette","171.36",43820,17.5,54019,9.6,18.7,26.1,45.6,4.5
"MS","Lamar","140.94",40207,16,63343,10.6,24.2,31.1,34.1,4.2
"MS","Lauderdale","126.77",39359,21.5,74125,15.5,27.5,37.3,19.7,5.5
"MS","Leake","142.86",31441,23.8,22786,21.4,36.6,27.8,14.3,5.5
"MS","Lee","138.66",42635,14.6,85436,16.4,25.9,33.3,24.4,4.4
"MS","Leflore","124.01",38974,35.7,28183,18.4,38.2,25,18.5,7.5
"MS","Lincoln","142.19",39441,19.6,34153,13.7,37.6,32.6,16.2,5.6
"MS","Lowndes","138.46",40717,17.2,58595,14,32,30.6,23.4,5.3
"MS","Madison","139.56",65746,10.1,106272,8.3,17,26.3,48.4,4.4
"MS","Marion","138.49",38701,23.8,24573,18.5,39.3,29.9,12.3,5.5
"MS","Marshall","133.60",34165,20.3,35294,17.9,38.8,29.5,13.8,5.7
"MS","Monroe","127.10",36295,17.9,35252,19,36,28.3,16.7,5.5
"MS","Neshoba","152.50",36785,21.7,29118,19.7,35.6,33,11.6,5.9
"MS","Oktibbeha","168.03",35457,31.1,49587,9.3,21.7,26.4,42.6,5.6
"MS","Panola","145.70",33528,22.8,34192,19.4,36.6,29.1,14.9,6.6
"MS","Pearl River","145.87",37178,18.1,55535,16.2,30.4,36.7,16.7,5.2
"MS","Perry","174.65",33188,19.9,11973,17,40.4,31.8,10.7,6.7
"MS","Pike","141.55",31536,26.2,39288,16.8,35.9,30.7,16.6,6.5
"MS","Pontotoc","150.45",33932,15.9,32174,23.5,29.1,29.3,18.1,4.3
"MS","Prentiss","144.38",31314,15.7,25126,19.9,34.5,33.3,12.4,4.9
"MS","Rankin","145.38",45237,11.1,155271,10.5,26.7,33.8,29,3.9
"MS","Scott","145.58",31585,19.7,28124,26,37.5,25.1,11.4,4.5
"MS","Simpson","165.70",36587,17.8,26658,20.3,30.1,33.4,16.2,5.2
"MS","Stone","150.11",33369,18.5,18336,17.8,35.9,30.6,15.8,6.6
"MS","Sunflower","140.77",31846,34,25110,25.1,32.2,27.3,15.4,8.9
"MS","Tate","136.24",36836,15.1,28321,17,35.4,31.7,15.8,5.6
"MS","Tippah","138.05",35061,16.2,22015,20.1,36.2,28.5,15.2,5.1
"MS","Tishomingo","142.36",34871,17,19383,19.6,38.9,30.1,11.4,5.1
"MS","Union","154.47",33027,13,28815,21.9,33.7,31.1,13.4,4.2
"MS","Walthall","169.18",31910,21.7,14286,18.3,43.8,23.5,14.4,7.3
"MS","Warren","138.53",41102,20.1,45381,12.9,30.5,34.2,22.4,6
"MS","Washington","120.86",38942,33.7,43909,21.2,32.3,28.6,17.9,7.6
"MS","Wayne","146.53",34961,22.2,20183,20.7,38.4,25.6,15.3,6.1
"MS","Winston","140.05",36414,25.4,17955,18.3,35.7,31.2,14.7,6.1
"MS","Yazoo","141.89",27666,36.4,29690,21.1,38.6,26.8,13.4,6.4
"MO","Adair","128.14",33351,19.2,25343,9.9,34.4,24.6,31,3.9
"MO","Andrew","144.31",45594,8.9,17712,8.3,37.4,29.5,24.9,2.8
"MO","Audrain","142.96",39118,16.3,25388,13.8,45.8,25.7,14.7,3.4
"MO","Barry","141.91",35003,18.6,35789,16.4,41.3,27.7,14.6,3.5
"MO","Barton","124.15",36035,15,11754,12.8,41.1,26.2,19.9,3.4
"MO","Bates","136.22",40325,16.9,16172,12.6,44.2,27.1,16.1,4
"MO","Bollinger","150.98",33632,14.5,12133,20.2,47.3,23.6,8.9,3.9
"MO","Boone","155.01",48525,17.2,180463,5.5,21.3,27.1,46.1,2.4
"MO","Buchanan","136.26",40156,15.8,87364,11.7,37.8,29.4,21.1,3.1
"MO","Butler","140.32",36606,22.5,42478,17,37.3,32.3,13.3,4.7
"MO","Callaway","149.98",39111,11.6,44743,13.8,36.1,27,23.1,2.9
"MO","Camden","155.54",38352,13.5,46305,9.6,37.9,31.4,21.1,4.5
"MO","Cape Girardeau","142.49",46754,14.6,78871,9,31.2,28.3,31.5,2.9
"MO","Cass","154.53",47907,7.9,105780,7.6,33.9,32.2,26.3,3
"MO","Christian","147.67",41516,10.4,88595,8,29.4,34,28.6,2.7
"MO","Clay","149.51",48920,9.1,249948,6.7,28.4,31.8,33.2,2.9
"MO","Clinton","145.25",43200,9.9,20387,8,40,30.3,21.6,3
"MO","Cole","139.42",48273,10.6,76745,7.7,29.7,29.3,33.3,2.6
"MO","Cooper","149.25",40212,11.8,17709,11.3,37.5,29,22.1,3.7
"MO","Crawford","161.06",36242,15.6,23920,22.1,39.1,27.3,11.5,3.8
"MO","Dallas","141.47",34214,17.8,16878,16.6,44.5,26,12.9,4.5
"MO","Dunklin","139.29",37291,26.7,29131,23.7,38.2,24.2,13.8,5.5
"MO","Franklin","140.17",45672,9.3,103967,11.6,32.7,34.8,20.9,3.2
"MO","Gasconade","147.03",40932,11.6,14706,12.2,38.5,30,19.2,3.4
"MO","Greene","149.18",45476,14.4,293086,8.2,28,33.3,30.5,2.7
"MO","Grundy","130.86",36146,18.7,9850,13.5,39,30.3,17.1,3.5
"MO","Henry","134.62",42741,17.3,21824,12.2,40.7,31.3,15.9,3.7
"MO","Howard","158.16",41534,13,10001,12.1,37.1,25.7,25.2,3.1
"MO","Howell","140.09",35261,20.8,40117,13,38.9,30.1,18,4.1
"MO","Jackson","155.67",47819,13.7,703011,9.4,28.3,30.7,31.6,3.7
"MO","Jasper","144.44",42348,18.8,121328,13.3,33.6,29.6,23.6,3
"MO","Jefferson","147.04",43259,8.4,225081,10.9,31.6,37.1,20.4,3.1
"MO","Johnson","155.28",37615,11.4,54062,7.5,30.7,32.9,28.9,3.7
"MO","Laclede","138.67",37228,15.8,35723,14.8,40.8,29.8,14.6,6.9
"MO","Lafayette","146.69",42819,10.7,32708,9.4,43.5,26.8,20.3,3.1
"MO","Lawrence","141.35",34465,16.1,38355,15.3,38.7,30,16,3.5
"MO","Lincoln","145.56",41082,9.4,59013,10.5,42.3,30.4,16.8,3.3
"MO","Linn","121.72",40419,18.9,11920,10.6,45.7,26.8,16.9,4.9
"MO","Livingston","137.23",39305,15,15227,13.3,39.8,28.1,18.8,2.5
"MO","Macon","129.38",43173,12.5,15117,11.8,45.1,26.8,16.3,3.4
"MO","Marion","157.86",41677,13.9,28530,12,37,28.7,22.4,3.2
"MO","Miller","148.41",36501,15.1,25619,12.7,40.6,27.3,19.4,3.8
"MO","Mississippi","144.37",33213,27.7,13180,24.3,41.8,22.3,11.5,4.1
"MO","Moniteau","143.25",36675,11,16132,14.6,40.1,24.8,20.5,3
"MO","Monroe","157.06",42136,13.4,8644,10.7,48.4,28.5,12.4,4.2
"MO","Montgomery","138.16",41354,13.3,11551,14.8,44.7,26.5,14,3.1
"MO","Morgan","168.60",40924,17.8,20627,21.9,38.1,26.7,13.3,4.3
"MO","New Madrid","154.31",38281,22.5,17076,21.3,46.7,20,12.1,4.3
"MO","Newton","135.84",39495,13.2,58236,12.9,34.5,32.6,20,3.3
"MO","Nodaway","124.75",33466,17.8,22092,7.7,37.7,26.1,28.6,3
"MO","Osage","153.34",46222,9.1,13615,10.1,43.7,27.3,18.9,2.4
"MO","Pemiscot","111.61",37487,26.9,15805,22.2,43.3,21.7,12.7,5
"MO","Perry","157.00",42182,9.1,19136,12.3,43.3,26.7,17.7,2.6
"MO","Pettis","145.38",38545,12.9,42339,13.5,34.8,33.7,18,3.5
"MO","Phelps","144.98",40208,17,44573,11.7,30.4,28.7,29.1,3.3
"MO","Pike","135.44",35410,17.6,18302,15.8,47.6,21,15.6,3.6
"MO","Platte","154.63",59095,5.3,104418,4.2,22.1,30.6,43.1,2.7
"MO","Polk","135.62",35193,19.6,32149,11.6,39,29.5,19.9,3.4
"MO","Pulaski","140.12",41734,14.6,52607,7.2,27.5,37.1,28.3,4.1
"MO","Ralls","171.32",40447,10,10309,10.3,49,25.9,14.9,3.1
"MO","Randolph","164.39",40856,16.5,24748,13.1,36.3,35.5,15.1,3.9
"MO","Ray","145.39",43569,9.2,23018,11.9,45.1,28.4,14.6,3.6
"MO","Saline","141.37",39037,15.7,22761,16,37.8,26.8,19.4,3.2
"MO","Scott","141.20",41626,17.9,38280,15,41.6,27,16.3,3.5
"MO","Stoddard","139.56",37365,18.4,29025,19.1,41.5,26.1,13.3,4.7
"MO","Stone","156.11",39225,15.4,31952,12.8,32.9,35.7,18.6,5
"MO","Taney","141.76",36794,12.6,55928,11.1,33.6,35.4,19.9,5.1
"MO","Texas","134.73",29618,21,25398,16.4,38.6,31.5,13.5,4.5
"MO","Vernon","131.54",35742,17.1,20563,11.7,40.5,29,18.9,3.5
"MO","Warren","141.42",42648,10,35649,11.3,37.6,32,19.1,2.9
"MO","Webster","143.28",33387,16.2,39592,13.9,37.3,32,16.8,3.6
"MO","Wright","153.95",33243,19.6,18289,19.6,45.5,24.8,10.2,5.3
"MT","Beaverhead","207.89",48424,14.5,9453,4.9,28.8,30.9,35.4,2.9
"MT","Broadwater","207.14",45211,9,6237,6.8,32.2,33.9,27.1,4
"MT","Carbon","193.85",52371,10.1,10725,5.8,31.1,32.7,30.4,3.4
"MT","Cascade","177.40",49803,14.2,81366,8.2,32.8,33.3,25.7,3.4
"MT","Chouteau","193.79",41312,15.4,5635,7.4,33.9,30.4,28.3,2.7
"MT","Custer","235.57",47268,13,11402,8,28.7,38.6,24.6,2.9
"MT","Dawson","228.78",47273,11.8,8613,7,34.2,36.7,22.2,2.4
"MT","Deer Lodge","172.09",41454,15.9,9140,8.9,38.1,32.5,20.4,3.2
"MT","Fergus","184.83",46646,13.2,11050,7.3,28.5,35.1,29.1,3.1
"MT","Flathead","221.92",48866,9.4,103806,5.3,29.4,34.3,31,4.7
"MT","Gallatin","253.37",58195,10.3,114434,3.2,17.8,28.9,50.1,2.3
"MT","Glacier","166.75",36484,25.7,13753,10.4,39.2,28.9,21.4,7.5
"MT","Hill","221.10",47082,15.7,16484,9.3,30.2,35.1,25.4,3.7
"MT","Jefferson","187.80",49780,8,12221,5.7,26.5,32.8,35,3.3
"MT","Lake","176.53",40754,17.2,30458,8.2,28.5,33.7,29.6,4.2
"MT","Lincoln","205.13",37155,17.4,19980,10.4,37.3,32.7,19.6,7.2
"MT","Madison","188.17",53567,9.7,8600,4.6,30.8,33.4,31.2,3.2
"MT","Mineral","201.86",40547,15.6,4397,11.1,37,35.8,16.1,5.7
"MT","Missoula","209.03",51090,11.8,119600,4.4,21.7,31,43,3.2
"MT","Park","235.50",51538,11.8,16606,5.5,29.9,33.1,31.5,3.4
"MT","Pondera","216.24",47477,17.5,5911,7,33.5,35.6,24,3.8
"MT","Ravalli","185.34",46768,11.2,43806,8.4,30.4,33.4,27.8,4
